# ============================================================
# ネクサスプラザビル 2階更衣室 内装補修工事（漏水復旧）
# mitsumori_seikyu_preview.html 貼り付け用CSV (#META + 簡易CSV形式)
# ============================================================
# 使い方:
#   1. mitsumori_seikyu_preview.html を開く
#   2. 「貼付」ボタン（CSVテキスト貼付モーダル）を開く
#   3. 下記ブロック(#META行〜明細行)を選択コピー
#   4. モーダルにペーストして読込
# ------------------------------------------------------------
# 前提・方針:
#   - 既発行「天井復旧（2F男子トイレ＋3F男女トイレ）税込¥1,144,000」とは別葉の【単体見積】。
#   - 範囲：壁=オレンジ表示部のみ／床=グレーのタイルカーペットのみ／天井=囲い部＋落下PB復旧。
#   - 保険申請用の概算（かさ増し可）。★数量はすべて「仮」＝現地採寸 or 図面(1/50)で確定要。
#   - 天井高 CH=2750。損傷：天井PB9.5 約600×800 落下／壁下部PB12.5 欠損 W900×H600(4〜5枚相当)。
#   - 諸経費10%・消費税別途10%（HTML側で自動計算）。
#   - 概算合計：小計¥172,100＋諸経費¥17,210＝税抜¥189,310／消費税¥18,931／税込¥208,241。
# ============================================================

# ---------- 見積書 用 ----------

#META: ankenKey=ネクサス-ビル漏水修理-26
#META: docType=mitsumori
#META: docNumber=ARM-T011-260612-01
#META: customerName=株式会社ネクサスプラザ
#META: kojimei=ネクサスプラザビル 2階更衣室 内装補修工事（漏水復旧）
#META: shisetsu=大分県大分市府内町3丁目7番7号
#META: issueDate=2026-06-12
#META: shokeihiRate=10
#META: fileSuffix=更衣室
品名,数量,単位,単価,備考
資材運搬・搬入養生,1,式,18000,共通仮設
片付け清掃費,1,式,15000,共通仮設
既存壁クロス 撤去・剥がし,16.5,㎡,550,【壁】オレンジ表示部 ※数量仮・現地確定要
壁下地PB12.5 欠損部 撤去・張替（軽鉄下地補修共）,1,式,30000,【壁】W900×H600他・4〜5枚相当
壁ビニールクロス 張替,16.5,㎡,1850,【壁】オレンジ表示部 ※数量仮・現地確定要
天井下地PB9.5 落下部 撤去・張替,1,式,18000,【天井】約600×800・1枚相当
天井ビニールクロス 張替,4,㎡,1850,【天井】囲い部 ※数量仮・現地確定要
既存タイルカーペット 撤去・処分,6,㎡,1000,【床】グレー部 ※数量仮・現地確定要
タイルカーペット 張替（材工）,6,㎡,5800,【床】グレー部 ※数量仮・現地確定要
ソフト巾木 撤去・張替,6,m,550,壁・床やり替えに伴う ※数量仮
