# ============================================================
# わらわ パークプレイス店 壁面棚撤去・塗装補修工事【確定版 2026-06-25】
# mitsumori_seikyu_preview.html 貼り付け用CSV (#META + 簡易CSV形式)
# ============================================================
# 正本(確定): Drive 書類フォルダ「見_ワラワ-パークプレイス店-26.html」(亀井 上書き保存・状態埋込)
# ※本CSVは内訳の控え。確定はグループ明細＋端数値引きのため、再編集は上記HTMLを開くのが確実。
# ------------------------------------------------------------
# 前提・方針:
#   - 紹介元=吉田デザイン事務所(福岡/T-037)。現場=大分(地元)。顧客=わらわ(T-038/濱田さん 090-6306-0365 / warawap@gmail.com)
#   - 〒870-0174 大分県大分市公園通り西2丁目1番 パークプレイス大分内(旧ラッシュ居抜き区画 約10坪)
#   - 壁固定棚(木製7+アイアン2)撤去→撤去跡を下地/パテ補修→面塗り。塗装色 白=日塗工DN-93 / 黒=日塗工GN-25。
#   - 工程: 店舗定休日1日(朝6時開始・音作業は開店10時前9:30まで→以降塗装・夜8時頃完了)。実施日=7/24以降の平日。
#   - 商品片付けはお客様対応(着工前に棚上の商品移動)。新什器設置は含まず。
#   - 確定金額: 小計211,500 ＋ 諸経費10% 21,150 − 端数値引650 = 税抜232,000 / 消費税23,200 / 税込¥255,200
#   - ★端数値引き(-650)は mitsumori_seikyu_preview.html 側で設定(本CSVの明細合計は211,500)。
# ============================================================

# ---------- 見積書 用 ----------

#META: ankenKey=ワラワ-パークプレイス店-26
#META: docType=mitsumori
#META: docNumber=ARM-T038-260625-01
#META: customerName=warawaパークプレイス店
#META: kojimei=warawaパークプレイス店 壁面棚撤去・塗装補修工事
#META: shisetsu=大分市公園通り西2丁目1番 パークプレイス大分内
#META: issueDate=2026-06-25
#META: shokeihiRate=10
品名,数量,単位,単価,備考
資材運搬・搬入費,1,式,18000,
養生費（既存商品養生・通路養生）,1,式,15000,
木製棚 撤去（裏面ビス留め・側面よりレシプロソー切断）,7,箇所,6500,旧ラッシュ什器
アイアンフレーム棚 撤去（正面ビス外し）,2,箇所,4000,
木製棚 撤去跡 下地処理・パテ補修（ビス切断）,7,箇所,3000,
アイアン棚 撤去跡 ビス穴パテ補修・タッチアップ塗装,1,式,12000,
黒色塗装 日塗工GN-25（面塗り）,1,式,20000,3.18㎡：2200×900／2000×600
白色塗装 日塗工DN-93（面塗り）,1,式,45000,11.6㎡：2800×2000／3000×2000
片付け清掃費・工事発生材処分費,1,式,12000,
撤去棚 運搬処分費,1,式,15000,
