# 大村邸 建具補修・ロールスクリーン取替工事 - 見積/請求 編集用CSV
# 「値」列を編集 → このCSVを参照しながらHTMLを書き換えてください
# 自動計算欄(税抜合計・消費税・税込合計)は手計算で更新が必要です

種類,セクション,項目,値,備考

# ===== 見積書 (見_合算_ウインズ-大村建具-26.html) =====
見積,ヘッダー,見積番号(お客様向け),ARM-T008-260519-01,
見積,ヘッダー,社内書類番号,見_ウインズ-大村建具-26+ウインズ-大村RS-26,
見積,ヘッダー,発行日,2026年5月19日,
見積,ヘッダー,有効期限,2026年6月18日,発行日から30日後
見積,宛先,宛名,有限会社ウインズコーポレーション,「御中」はHTMLで付与
見積,工事概要,工事件名,建具補修・ロールスクリーン取替工事,法人宛のため大村邸は非表示
見積,工事概要,施工場所,,法人宛のため非表示
見積,工事概要,工事期間,,法人宛のため非表示
見積,明細1,工事内容,"玄関建具補修工事 一式（メラミン化粧合板張替・表側2面）",
見積,明細1,数量,1,
見積,明細1,単位,式,
見積,明細1,金額(税抜),92000,
見積,明細2,工事内容,"ロールスクリーン取替工事 一式（タチカワRS-1194 既存撤去・取付・諸経費含む）",
見積,明細2,数量,1,
見積,明細2,単位,式,
見積,明細2,金額(税抜),123636,
見積,合計,小計(税抜),215636,明細合計を手計算
見積,合計,消費税(10%),21564,小計×0.1 を手計算
見積,合計,税抜合計,215636,
見積,合計,税込合計,237200,小計+消費税
見積,備考,行1,"本見積書は「大村邸 建具補修工事」と「大村邸 ロールスクリーン取替工事」の合算見積書です。",
見積,備考,行2,"玄関建具補修工事の内訳：メラミン化粧合板 ¥16,000＋下地調整・貼り工賃 ¥30,000＝¥46,000／面 × 表側2面。",
見積,備考,行3,"ロールスクリーン取替工事は2026年5月19日に施工完了済みです。",
見積,備考,行4,"本見積書の有効期限は発行日より30日間とさせていただきます。",

# ===== 請求書 (請_合算_ウインズ-大村建具-26.html) =====
請求,ヘッダー,請求番号(お客様向け),ARS-T008-260519-01,
請求,ヘッダー,社内書類番号,請_ウインズ-大村建具-26+ウインズ-大村RS-26,
請求,ヘッダー,発行日,2026年5月19日,
請求,ヘッダー,支払期限,2026年6月30日,翌月末払い
請求,宛先,宛名,有限会社ウインズコーポレーション,「御中」はHTMLで付与
請求,工事概要,工事件名,建具補修・ロールスクリーン取替工事,法人宛のため大村邸は非表示
請求,工事概要,施工場所,,法人宛のため非表示
請求,工事概要,工事期間,,法人宛のため非表示
請求,明細1,工事内容,"玄関建具補修工事 一式（メラミン化粧合板張替・表側2面）",
請求,明細1,数量,1,
請求,明細1,単位,式,
請求,明細1,金額(税抜),92000,
請求,明細2,工事内容,"ロールスクリーン取替工事 一式（タチカワRS-1194 既存撤去・取付・諸経費含む）",
請求,明細2,数量,1,
請求,明細2,単位,式,
請求,明細2,金額(税抜),123636,
請求,合計,小計(税抜),215636,明細合計を手計算
請求,合計,消費税(10%),21564,小計×0.1 を手計算
請求,合計,税込合計,237200,小計+消費税
請求,振込先,銀行,大分みらい信用金庫 石垣支店,
請求,振込先,口座,普通 9151080,
請求,振込先,名義,株式会社アート・レイズ,
請求,発行元,会社名,株式会社アート・レイズ,
請求,発行元,住所,〒874-0829 大分県別府市上原町13番25号,
請求,発行元,登録番号,T4320001006992,
