# 請求書ヘッダー
項目,値
請求番号(お客様向け),ARS-T008-260519-01
社内書類番号,請_ウインズ-大村建具-26+ウインズ-大村RS-26
発行日,2026-05-19
支払期限,2026-06-30
宛名,有限会社ウインズコーポレーション 御中
顧客ID,T-008
工事件名,大村邸 建具補修・ロールスクリーン取替工事
施工場所,大分県別府市（大村邸）
工事期間,2026年5月19日 完了
振込先,大分みらい信用金庫 石垣支店 普通 9151080 株式会社アート・レイズ
登録番号,T4320001006992
税抜合計,215636
消費税(10%),21564
税込合計,237200

# 請求明細
No,工事内容,数量,単位,単価(税抜),金額(税抜),案件キー
1,"玄関建具補修工事 一式（メラミン化粧合板張替・表側2面）",1,式,92000,92000,ウインズ-大村建具-26
2,"ロールスクリーン取替工事 一式（タチカワRS-1194 既存撤去・取付・諸経費含む）",1,式,123636,123636,ウインズ-大村RS-26
,小計(税抜),,,,215636,
,消費税(10%),,,,21564,
,税込合計,,,,237200,
